month,channel,spend_usd
2024-01,Organic Search,5144.39
2024-01,Paid Search,32289.39
2024-01,Email,3722.19
2024-01,Influencer,26719.72
2024-01,Direct,0.0
2024-01,Social Ads,19833.21
2024-02,Organic Search,3626.57
2024-02,Paid Search,22710.88
2024-02,Email,2958.73
2024-02,Influencer,20068.48
2024-02,Direct,0.0
2024-02,Social Ads,14096.82
2024-03,Organic Search,3212.96
2024-03,Paid Search,26111.64
2024-03,Email,3043.24
2024-03,Influencer,18363.05
2024-03,Direct,0.0
2024-03,Social Ads,14853.28
2024-04,Organic Search,5089.0
2024-04,Paid Search,37369.09
2024-04,Email,3949.95
2024-04,Influencer,28193.01
2024-04,Direct,0.0
2024-04,Social Ads,22895.49
2024-05,Organic Search,4524.85
2024-05,Paid Search,35121.41
2024-05,Email,3637.58
2024-05,Influencer,26300.34
2024-05,Direct,0.0
2024-05,Social Ads,23193.69
2024-06,Organic Search,4602.21
2024-06,Paid Search,33670.21
2024-06,Email,4070.44
2024-06,Influencer,29011.99
2024-06,Direct,0.0
2024-06,Social Ads,22097.65
2024-07,Organic Search,4735.41
2024-07,Paid Search,35991.24
2024-07,Email,3737.38
2024-07,Influencer,26337.06
2024-07,Direct,0.0
2024-07,Social Ads,20804.33
2024-08,Organic Search,5411.65
2024-08,Paid Search,33861.85
2024-08,Email,3970.27
2024-08,Influencer,26323.57
2024-08,Direct,0.0
2024-08,Social Ads,21333.76
2024-09,Organic Search,5481.62
2024-09,Paid Search,34895.9
2024-09,Email,4292.09
2024-09,Influencer,28484.0
2024-09,Direct,0.0
2024-09,Social Ads,23843.25
2024-10,Organic Search,7485.88
2024-10,Paid Search,51211.85
2024-10,Email,5369.04
2024-10,Influencer,38887.52
2024-10,Direct,0.0
2024-10,Social Ads,30623.24
2024-11,Organic Search,6584.25
2024-11,Paid Search,47101.99
2024-11,Email,5598.3
2024-11,Influencer,41297.29
2024-11,Direct,0.0
2024-11,Social Ads,29924.14
2024-12,Organic Search,7312.04
2024-12,Paid Search,47821.98
2024-12,Email,6000.33
2024-12,Influencer,39511.7
2024-12,Direct,0.0
2024-12,Social Ads,30964.1
