order_id,customer_id,product_id,order_date,quantity,gross_revenue,discount_applied,shipping_cost
O149139,C03300,P10113,2024-01-22,1,438.26,21.92,13.35
O143466,C04561,P10107,2024-05-06,1,216.53,43.31,13.96
O149027,C00614,P10066,2024-12-09,1,34.78,0.0,6.48
O116720,C00302,P10073,2024-11-30,1,115.58,0.0,12.84
O134984,C02527,P10096,2024-04-24,1,257.56,0.0,3.56
O120779,C01637,P10181,2024-06-28,1,45.58,2.28,9.45
O117356,C02201,P10062,2024-10-26,1,52.61,0.0,3.94
O144943,C00650,P10008,2024-02-04,1,65.2,0.0,4.05
O121830,C00650,P10092,2024-11-07,1,84.8,0.0,14.63
O133985,C00614,P10201,2024-11-29,1,49.43,0.0,3.84
O118889,C03475,P10156,2024-02-05,1,54.79,2.74,4.39
O111975,C04114,P10081,2024-04-21,1,290.58,0.0,4.75
O134344,C04141,P10035,2024-12-15,1,142.42,0.0,7.25
O135266,C04704,P10191,2024-08-17,3,169.77,8.49,0.43
O120832,C01048,P10318,2024-04-09,1,35.7,0.0,0.98
O138868,C01972,P10319,2024-08-14,2,44.0,0.0,10.75
O140432,C01235,P10304,2024-09-03,2,68.36,10.25,8.8
O104773,C00604,P10315,2024-08-14,1,69.89,0.0,12.47
O150095,C03590,P10029,2024-07-11,1,22.46,0.0,6.14
O116233,C01862,P10199,2024-04-23,1,104.35,15.66,5.75
O124724,C03243,P10030,2024-06-22,1,79.13,0.0,3.39
O148532,C00480,P10304,2024-11-16,3,153.81,23.07,14.21
O104659,C00205,P10048,2024-07-13,1,101.25,0.0,1.38
O144791,C03503,P10139,2024-07-10,1,202.89,10.15,7.11
O115302,C00829,P10127,2024-07-04,1,59.15,5.92,6.41
O115695,C00471,P10184,2024-01-14,2,48.1,0.0,10.81
O129725,C01200,P10133,2024-05-11,1,212.13,0.0,5.19
O128251,C00444,P10202,2024-12-28,2,102.72,0.0,8.93
O106016,C04059,P10090,2024-10-05,1,103.46,0.0,11.86
O125338,C02171,P10188,2024-11-18,1,73.42,0.0,14.91
O140232,C03223,P10316,2024-04-10,3,155.74,7.78,10.09
O147124,C00587,P10276,2024-02-04,1,2791.83,0.0,5.29
O125727,C02590,P10107,2024-12-04,2,649.59,0.0,14.1
O110547,C01825,P10057,2024-08-10,1,179.26,0.0,3.41
O109466,C03105,P10007,2024-12-07,1,67.5,0.0,7.6
O140618,C01663,P10077,2024-04-21,1,177.63,0.0,4.88
O104860,C01780,P10291,2024-07-21,1,31.94,3.19,14.37
O123403,C02281,P10171,2024-09-10,2,457.02,0.0,2.16
O101224,C00449,P10165,2024-02-26,1,421.11,0.0,6.5
O129596,C02685,P10267,2024-10-18,1,3937.34,196.87,7.84
O130678,C02435,P10193,2024-11-11,1,31.13,0.0,10.06
O118339,C00942,P10236,2024-07-03,1,57.84,11.56,0.63
O117237,C01925,P10239,2024-09-12,3,2031.12,203.11,4.77
O126382,C01539,P10046,2024-12-31,2,281.06,0.0,4.02
O111943,C00996,P10258,2024-07-21,4,727.52,0.0,9.27
O106264,C03421,P10189,2024-07-06,1,115.92,0.0,12.31
O125502,C01382,P10163,2024-11-27,4,2705.48,270.55,9.47
O125598,C01423,P10123,2024-01-23,4,536.68,0.0,1.24
O139020,C03552,P10260,2024-09-09,1,426.99,0.0,3.44
O130703,C04604,P10022,2024-08-10,1,57.7,0.0,11.27
O143039,C01430,P10040,2024-08-14,4,629.64,62.96,4.03
O107505,C00389,P10033,2024-10-20,1,38.25,0.0,14.22
O130460,C04734,P10225,2024-06-05,1,107.6,10.76,5.01
O148575,C00830,P10086,2024-10-31,1,150.58,7.53,12.08
O109979,C04988,P10281,2024-08-05,1,22.64,0.0,5.8
O118675,C02470,P10260,2024-11-05,1,261.71,26.17,4.18
O130687,C00715,P10187,2024-05-11,2,27.68,0.0,0.8
O107082,C01508,P10216,2024-11-23,1,88.04,0.0,13.33
O112656,C02087,P10180,2024-11-27,2,75.68,3.78,10.0
O139898,C04656,P10268,2024-01-25,2,8185.92,0.0,6.24
O141718,C02887,P10103,2024-11-27,2,78.86,15.77,13.46
O135064,C04369,P10310,2024-09-05,2,35.2,5.28,3.14
O127030,C00701,P10136,2024-03-11,1,392.17,0.0,4.34
O146004,C01757,P10312,2024-11-10,1,40.15,0.0,14.21
O126749,C04230,P10283,2024-11-29,1,28.4,1.42,5.65
O138460,C03260,P10298,2024-11-26,1,66.2,0.0,0.1
O112349,C02615,P10145,2024-04-21,1,60.84,0.0,10.28
O118849,C02192,P10038,2024-12-18,1,135.15,0.0,6.53
O136850,C00755,P10186,2024-07-29,1,23.61,0.0,6.44
O108999,C04642,P10266,2024-12-20,2,9470.61,0.0,8.68
O147765,C00765,P10216,2024-04-04,2,176.07,26.42,6.69
O103306,C02326,P10104,2024-04-10,3,34.41,0.0,2.37
O128622,C04669,P10118,2024-11-27,1,137.13,6.86,3.76
O103252,C02792,P10160,2024-08-09,1,670.34,0.0,8.01
O113226,C00688,P10276,2024-09-02,1,2938.77,0.0,12.91
O135835,C01740,P10031,2024-12-03,2,303.48,0.0,1.5
O133794,C03509,P10227,2024-09-05,1,25.68,2.56,10.35
O147386,C03245,P10217,2024-07-25,1,14.9,0.0,2.13
O119651,C04751,P10249,2024-11-07,1,658.48,32.92,11.59
O103746,C00132,P10190,2024-11-15,3,79.6,0.0,8.94
O136340,C02583,P10251,2024-08-08,1,145.44,0.0,9.83
O146135,C03186,P10037,2024-09-12,1,131.63,6.58,13.58
O106244,C02696,P10140,2024-11-20,1,1017.22,0.0,3.88
O115211,C01610,P10296,2024-09-22,1,26.19,0.0,4.09
O127619,C03222,P10037,2024-10-22,3,375.15,0.0,11.5
O126274,C04221,P10158,2024-10-22,1,783.56,78.35,1.52
O136906,C01907,P10040,2024-02-18,4,975.94,0.0,6.34
O144766,C02326,P10117,2024-11-13,1,66.62,0.0,10.69
O125216,C03865,P10273,2024-08-28,1,922.36,0.0,12.11
O126972,C00353,P10062,2024-08-01,2,105.22,0.0,3.33
O114599,C04592,P10084,2024-01-13,1,21.82,0.0,12.08
O103783,C04988,P10243,2024-05-28,1,59.31,2.97,10.65
O115402,C00456,P10051,2024-07-07,1,100.3,5.01,11.28
O138497,C04661,P10230,2024-12-27,2,141.08,14.11,8.72
O102996,C03097,P10092,2024-11-27,3,394.32,0.0,6.08
O110720,C01901,P10010,2024-09-26,1,115.96,0.0,0.12
O128000,C03423,P10068,2024-09-25,1,100.6,5.03,14.95
O144359,C03491,P10062,2024-11-23,2,105.22,0.0,13.56
O134013,C04592,P10123,2024-05-20,1,134.17,13.42,0.49
O122263,C04725,P10121,2024-10-16,1,275.31,0.0,12.18
O144393,C01951,P10127,2024-11-03,1,59.15,11.83,0.58
O114894,C03635,P10037,2024-04-10,1,65.82,3.29,9.78
O119515,C01970,P10202,2024-12-30,3,102.72,0.0,9.85
O100277,C01958,P10097,2024-09-16,3,324.96,,0.13
O143712,C01789,P10110,2024-06-10,1,301.06,0.0,0.83
O130601,C01594,P10071,2024-06-05,1,150.43,0.0,6.66
O143788,C04942,P10198,2024-12-25,1,121.5,0.0,2.95
O135503,C00198,P10027,2024-10-24,1,170.48,0.0,10.98
O125679,C03172,P10304,2024-12-14,1,32.47,6.5,5.81
O147860,C01264,P10152,2024-05-01,2,1668.5,0.0,0.72
