product_id,product_name,category,unit_price,unit_cost
P10000,Apparel Item 10000,Apparel,76.8,48.78
P10001,Apparel Item 10001,Apparel,135.78,71.91
P10002,Apparel Item 10002,Apparel,40.74,16.17
P10003,Apparel Item 10003,Apparel,24.58,14.99
P10004,Apparel Item 10004,Apparel,114.18,64.22
P10005,Apparel Item 10005,Apparel,18.4,11.79
P10006,Apparel Item 10006,Apparel,152.35,63.03
P10007,Apparel Item 10007,Apparel,45.0,18.23
P10008,Apparel Item 10008,Apparel,65.2,33.08
P10009,Apparel Item 10009,apparel,86.27,37.73
P10010,Apparel Item 10010,Apparel,115.96,45.44
P10011,Apparel Item 10011,Apparel,63.2,29.07
P10012,Apparel Item 10012,Apparel,90.25,52.85
P10013,Apparel Item 10013,Apparel,47.95,24.18
P10014,Apparel Item 10014,Apparel,112.75,41.03
P10015,Apparel Item 10015,Apparel,115.24,46.23
P10016,Apparel Item 10016,Apparel,25.73,16.33
P10017,Apparel Item 10017,Apparel,174.33,103.29
P10018,Apparel Item 10018,Apparel,65.26,24.75
P10019,Apparel Item 10019,Apparel,127.9,61.65
P10020,Apparel Item 10020,Apparel,35.14,17.52
P10021,Apparel Item 10021,Apparel,20.67,12.87
P10022,Apparel Item 10022,Apparel,57.7,31.66
P10023,Apparel Item 10023,Apparel,66.43,33.61
P10024,Apparel Item 10024,Apparel,105.21,42.66
P10025,Apparel Item 10025,Apparel,174.98,101.93
P10026,Apparel Item 10026,Apparel,170.02,105.15
P10027,Apparel Item 10027,Apparel,113.65,71.21
P10028,Apparel Item 10028,Apparel,29.6,12.1
P10029,Apparel Item 10029,Apparel,22.46,10.05
P10030,Apparel Item 10030,Apparel,79.13,34.14
P10031,Apparel Item 10031,Apparel,151.74,69.35
P10032,Apparel Item 10032,Apparel,61.35,31.46
P10033,Apparel Item 10033,Apparel,38.25,22.59
P10034,Apparel Item 10034,Apparel,27.3,17.64
P10035,Apparel Item 10035,Apparel,142.42,58.34
P10036,Apparel Item 10036,Apparel,15.91,9.46
P10037,Apparel Item 10037,Apparel,131.63,74.86
P10038,Apparel Item 10038,Apparel,142.26,52.95
P10039,Apparel Item 10039,Apparel,74.15,28.53
P10040,Apparel Item 10040,Apparel,157.41,84.53
P10041,Apparel Item 10041,Apparel,69.6,25.69
P10042,Apparel Item 10042,Apparel,66.31,29.68
P10043,Apparel Item 10043,Apparel,135.39,73.28
P10044,Apparel Item 10044,Apparel,161.39,79.35
P10045,Apparel Item 10045,Apparel,34.73,19.59
P10046,Apparel Item 10046,Apparel,140.53,72.85
P10047,Apparel Item 10047,Apparel,142.21,70.84
P10048,Apparel Item 10048,Apparel,101.25,48.42
P10049,Apparel Item 10049,Apparel,19.19,7.34
P10050,Apparel Item 10050,Apparel,20.19,10.92
P10051,Apparel Item 10051,Apparel,66.87,33.61
P10052,Apparel Item 10052,Apparel,164.75,69.98
P10053,Apparel Item 10053,Apparel,82.71,47.7
P10054,Apparel Item 10054,Apparel,52.75,19.68
P10055,Apparel Item 10055,Apparel,62.81,25.02
